,names,name images
253,Arjun Tendulkar,https://scores.iplt20.com/ipl/playerimages/Arjun%20Tendulkar.png
254,Ishant Sharma,https://scores.iplt20.com/ipl/playerimages/Ishant%20Sharma.png
255,Abdul Basith,https://scores.iplt20.com/ipl/playerimages/Abdul%20Basith.png
256,Harpreet Singh,https://scores.iplt20.com/ipl/playerimages/Harpreet%20Singh.png
257,Litton Das,https://scores.iplt20.com/ipl/playerimages/Litton%20Das.png
258,Yudhvir Singh,https://scores.iplt20.com/ipl/playerimages/Yudhvir%20Singh.png
259,Wayne Parnell,https://scores.iplt20.com/ipl/playerimages/Wayne%20Parnell.png
260,Abishek Porel,https://scores.iplt20.com/ipl/playerimages/Abishek%20Porel.png
261,Mark Wood,https://scores.iplt20.com/ipl/playerimages/Mark%20Wood.png
262,Mohit Rathee,https://scores.iplt20.com/ipl/playerimages/Mohit%20Rathee.png
263,Adil Rashid,https://scores.iplt20.com/ipl/playerimages/Adil%20Rashid.png
